번호,게시판,제목,작성자,날짜,조회수
40,가입 인사,가입합니다~~,하람별시맘,2020.01.09.,15
41,가입 인사,가입인사,wkql12,2020.01.09.,16
42,가입 인사,모두의 건강을 위하여~,믿음으로,2020.01.09.,64
43,가입 인사,가입 인사드립니다.,lulu,2020.01.09.,13
44,가입 인사,반갑습니다,프로랄프로랄,2020.01.09.,15
45,가입 인사,가입인사 올립니다,해내음,2020.01.09.,27
46,가입 인사,안녕하세요.,추세로,2020.01.09.,29
47,가입 인사,가입 인사 드립니다. ^^,소망,2020.01.09.,19
48,가입 인사,안녕하세요,요술지니,2020.01.09.,12
49,가입 인사,가입 인사 드려요^^,아정이,2020.01.09.,11
50,가입 인사,가입,hms34281,2020.01.09.,16
51,가입 인사,가입인사드립니다~~^^,오팔,2020.01.09.,14
52,가입 인사,안녕하세요~^♡^,denver7512,2020.01.09.,72
55,가입 인사,반갑습니다~~^^,ok바라기,2020.01.09.,11
56,가입 인사,반갑습니다,샤인 리,2020.01.09.,15
57,가입 인사,안녕 하세요?,John Stone,2020.01.09.,9
58,가입 인사,인사!,신현권,2020.01.09.,11
59,가입 인사,가입인사올립니다.,하늘소00,2020.01.09.,31
60,가입 인사,반갑습니다,amitabul,2020.01.09.,10
61,가입 인사,안녕하세요. ^♡^,Ruby,2020.01.09.,9
62,가입 인사,안녕하세요 !!!!,fkffkdb,2020.01.09.,8
63,가입 인사,안녕하세요~~,이기자,2020.01.09.,8
64,가입 인사,펭하~~,깜동,2020.01.09.,12
65,가입 인사,안녕하세요!,빵규랑,2020.01.09.,7
66,가입 인사,가입 인사 드립니다,hurjye1081,2020.01.09.,11
67,가입 인사,여기서 뵈니 기분이 남다릅니다.,우주아부지,2020.01.09.,95
68,유투브방송 링크나눔,"[김의신 박사 강연][full버전] ""암에 걸리지 않고 행복하게 사는 법""",드림True,2020.01.09.,65
69,가입 인사,안녕하세요~~,미드미,2020.01.09.,12
70,가입 인사,인사 드립니다.,mjsc041jw,2020.01.09.,10
71,가입 인사,안녕하세요,WOW1234,2020.01.09.,9
72,가입 인사,안녕하세요!!,별별윤윤,2020.01.09.,12
73,가입 인사,가입했습니다,양보와질서,2020.01.09.,12
74,가입 인사,어부가 되란 말씀 깊히 와 닿습니다~,edelweiss43,2020.01.09.,35
75,가입 인사,안녕하세요^^,전주견우,2020.01.09.,16
77,가입 인사,가입인사,koswa3000,2020.01.09.,13
78,가입 인사,가입했습니다!,곰돌이마미,2020.01.09.,11
79,가입 인사,가입했습니다!!,곰돌이마미,2020.01.09.,14
80,가입 인사,안녕하세요,건강하자,2020.01.09.,11
82,가입 인사,가입인사올립니다.,kimcross,2020.01.09.,46
83,가입 인사,안녕하세요  ㅎㅎ 희수엄마입니다,헤라,2020.01.09.,818
84,가입 인사,인사드립니다😄,보보스,2020.01.09.,27
86,가입 인사,가입했습니다,프로토TV,2020.01.09.,43
87,가입 인사,가입인사드려요,장아영,2020.01.09.,15
88,가입 인사,안녕하세요,새별바라기,2020.01.09.,22
89,동영상링크(중요자료),파리장군님의 제가 가장 많이 사랑했던 동영상입니다. 엄청 뿌렸습니다.,분홍앵초,2020.01.09.,476
90,기타 자가임상 후기,알벤다졸 3주후기,프로토TV,2020.01.09.,440
92,동영상링크(중요자료),.프랑스 그르노블 의대 교수가 말하는 기생충과 구충제,분홍앵초,2020.01.09.,193
93,가입 인사,안녕하세요,파란주사위,2020.01.09.,27
95,가입 인사,와! 좋은 카페가 생겼네요.,투파투파,2020.01.09.,74
96,가입 인사,가입인사 드립니다. 잘부탁드려요~,림스,2020.01.09.,15
97,가입 인사,가입 인사 합니다,원리지,2020.01.09.,13
99,가입 인사,상=화,chyunb9351,2020.01.09.,14
100,가입 인사,가입인사,chyunb9351,2020.01.09.,8
101,가입 인사,가입했어요,마타,2020.01.10.,13
102,가입 인사,반갑습니다 가입했어요,박씨부인,2020.01.10.,12
103,가입 인사,만나서 반갑습니다,bom0705bom,2020.01.10.,13
104,가입 인사,가입,namhun11q,2020.01.10.,11
105,가입 인사,가입했어요,초롱224,2020.01.10.,9
106,가입 인사,감사합니다~,ttug3ab,2020.01.10.,9
107,가입 인사,인사올립니다 ^^ 가입했어요~,sil9011,2020.01.10.,12
108,가입 인사,반갑습니다.,옹달샘1,2020.01.10.,15
109,가입 인사,파리장군의 소개로 가입했습니다.,서창아우라,2020.01.10.,35
111,가입 인사,안녕하세요~~,지리산하이디,2020.01.10.,34
112,가입 인사,안녕하세요 반갑습니다,Jim,2020.01.10.,10
113,가입 인사,안녕하세요,까리하네,2020.01.10.,9
114,기타 자가임상 후기,적극적  방해가  시작된네요,냥이 50대 주부임니,2020.01.10.,250
115,가입 인사,안녕하세요 ^^ 여기서도 반갑습니다,반투명 안경테,2020.01.10.,24
116,자유게시판,천연 항암 치료제 Berberine,서창아우라,2020.01.10.,140
117,가입 인사,반갑습니다,릴리,2020.01.10.,14
118,가입 인사,안녕하세요,ace6734,2020.01.10.,15
119,가입 인사,안녕하세요,베토벤,2020.01.10.,12
120,가입 인사,가입인사,팔코,2020.01.10.,15
121,자유게시판,왜 우리는 가만히 있을까요?,나무,2020.01.10.,112
122,자유게시판,"이영돈PD, 국립암센터 임상실험 취소건에 대해",사미꼬,2020.01.10.,121
123,가입 인사,안녕하세요?,HAPPY,2020.01.10.,14
124,가입 인사,반가워요,noor23,2020.01.10.,73
125,가입 인사,안녕하세요,알렉스울프 경기,2020.01.10.,20
126,가입 인사,가입인사,십이대원,2020.01.10.,23
127,가입 인사,알려주세요,namhun11q,2020.01.10.,168
128,가입 인사,림프종과다발골수종진단받은 환우입니다,미르솔림,2020.01.10.,75
129,가입 인사,가입인사,남천동블루스,2020.01.10.,31
130,가입 인사,롤러코스터 인생 참 즐기며 타는 전지현 인사합니다^^,전지현,2020.01.10.,109
131,동영상링크(중요자료),1부 독일  의학 박사 알퐁스 웨버,분홍앵초,2020.01.10.,56
132,자유게시판,국립암센터 어이없네요~~,헤라,2020.01.10.,733
133,동영상링크(중요자료),2부 독일 의학박사 알퐁스웨버님의 기생충 이야기,분홍앵초,2020.01.10.,57
134,동영상링크(중요자료),코끼리  다리병  (림프사상충) ????,분홍앵초,2020.01.10.,97
135,동영상링크(중요자료),초대 받지 않은 손님~!,분홍앵초,2020.01.10.,143
136,정보 공유,"발기유발제(비아그라등),독감백신 그리고 전이암 90% 예방",jupitor068,2020.01.10.,154
137,가입 인사,안녕하세요 알면 무서울게 없게되지요,김영빈수원성,2020.01.10.,44
138,유투브방송 링크나눔,신풍생각님의 오늘 따끈따끈한 동영상입니다.,분홍앵초,2020.01.10.,165
139,가입 인사,가입 인사 드립니다.,소선곡,2020.01.10.,21
140,피르비늄 정보,"""암치료에서 피르비늄의 새로운 역할""이라는 논문 한글과 영문 두개 올립니다.",축복합니다,2020.01.10.,195
141,피르비늄 정보,피르비늄이 뇌종양 세포를 표적으로 한다는 논문입니다. 한글번역 영문 두개 올립니다.,축복합니다,2020.01.10.,139
142,동영상링크(중요자료),홀다 클락 박사님 1부 입니다.,분홍앵초,2020.01.10.,79
143,동영상링크(중요자료),홀다클락 박사님 2부입니다.,분홍앵초,2020.01.10.,70
144,동영상링크(중요자료),노벨생리학 의학상  논문 보기 입니다.,분홍앵초,2020.01.10.,39
145,피르비늄 정보,"피르비늄이 유방암을 표적으로 한다는 논문입니다. 한글 번역, 영문 두 개 올립니다.",축복합니다,2020.01.10.,184
146,동영상링크(중요자료),4개국 공동논문 (메벤다졸),분홍앵초,2020.01.10.,93
147,동영상링크(중요자료),"국제 암 전문지에 등재논문 (유방암편, 플루벤다졸 복용사례)",분홍앵초,2020.01.10.,77
148,피르비늄 정보,피르비늄이 심근경색에 효과적일 수 있다는 논문입니다. 한글 영문 두 부 첨부합니다.,축복합니다,2020.01.10.,146
149,동영상링크(중요자료),만성 간염 그 치료 가능성은 ~~?,분홍앵초,2020.01.10.,71
150,가입 인사,안녕하세요 제가 암은아니지만,새별바라기,2020.01.10.,787
152,니클로사미드,광범위 암을 잡을수있는 구충제. 니클로사마이드,정인82,2020.01.10.,"1,389"
153,질문과 대답(QnA),훌다쿨락박사님 영상에서 곰팡이균 부분이요,새별바라기,2020.01.10.,283
154,가입 인사,안녕하세요!,오늘맑음,2020.01.10.,13
155,가입 인사,가입인사 드립니다.,구미,2020.01.10.,19
156,가입 인사,가입인사,lachisis44,2020.01.10.,15
157,유방암,유방암의 COC 프로토콜,드림True,2020.01.10.,955
158,혈액암,COC 프로토콜 ™ 및 혈액 암,드림True,2020.01.10.,371
159,결장 직장암,결장 직장암의 COC 프로토콜 ™,드림True,2020.01.10.,391
160,초기암,초기 단계 암에서의 COC 프로토콜 ™,드림True,2020.01.10.,306
161,자유게시판,CT scan 시 주입하는 조영제에 대하여,immortal,2020.01.10.,138
162,신경 교종세포암,신경 교종의 COC 프로토콜 ™,드림True,2020.01.10.,485
163,폐암,폐암의 COC 프로토콜 ™,드림True,2020.01.10.,689
164,난소암,난소 암의 COC 프로토콜 ™,드림True,2020.01.10.,495
165,전립선암,전립선 암의 COC 프로토콜,드림True,2020.01.10.,459
166,자유게시판,개가수 김철민(개그맨+ 가수)라는 뜻이래요.,오늘맑음,2020.01.10.,112
167,육종암,육종의 COC 프로토콜 ™,드림True,2020.01.10.,579
168,스텝신청게시판,이곳에 새로운 메뉴 요청하셔도 됩니다.,드림True,2020.01.10.,149
169,가입 인사,가입인사 드립니다,오소영 힘내자,2020.01.10.,32
171,결장 직장암,아스피린은 결장 직장암 재발 및 종양 성장을 억제하는 것으로 보입니다,드림True,2020.01.10.,264
172,가입 인사,안녕하세요. 아내가 췌장암 4기 간전이입니다.,안형사,2020.01.10.,108
173,가입 인사,가입합니다~,머루주,2020.01.10.,41
174,가입 인사,가입인사 드립니다,썬앤,2020.01.10.,22
175,가입 인사,가입인사요^^,파핀스,2020.01.10.,82
176,가입 인사,가입 인사드립니다,violet6260an,2020.01.10.,28
177,가입 인사,가입인사드립니다,배건우,2020.01.10.,23
178,가입 인사,유튜브만 보다가 가입합니다.,귀뚫린종,2020.01.10.,37
179,가입 인사,가입인사,psa7059,2020.01.10.,21
180,가입 인사,가입인사 드립니다~,도윤,2020.01.10.,13
181,가입 인사,가입했어요. 반갑습니다!,금토마토,2020.01.10.,37
183,가입 인사,가입인사,soopy,2020.01.10.,18
184,동영상링크(중요자료),간질 (뇌전증) 의 원인은   무엇일까?,분홍앵초,2020.01.10.,175
186,가입 인사,안녕하세요,khcho8363,2020.01.10.,22
187,가입 인사,가입인사 드려요,수국이 있는 풍경,2020.01.10.,111
189,자유게시판,기생충 구제법 몇 가지 (펌),분홍앵초,2020.01.10.,256
190,가입 인사,초대해 주셔서 감사합니다~^^,꾸꺼,2020.01.10.,31
192,가입 인사,가입인사 드립니다~^^,ko1331ym,2020.01.10.,20
193,가입 인사,가입완료,비비고,2020.01.10.,24
194,유투브방송 링크나눔,드디어 국내에서도 구충제로 인한 완전관해가 탄생하셨네요. 축하드림니다. !!!,immortal,2020.01.11.,210
196,가입 인사,가입,noh4905,2020.01.11.,25
198,가입 인사,보내주셔서 감사드립니다,풀소리,2020.01.11.,41
199,가입 인사,가입인사,harrypotty3,2020.01.11.,104
200,가입 인사,가입인사드립니다,이쁜여우,2020.01.11.,22
201,가입 인사,안녕하세요.가입 인사 드립니다.,doungk0114,2020.01.11.,39
202,가입 인사,인사드립니다.,지니 아부지,2020.01.11.,25
204,자유게시판,제약회사는 어떻게 거대한 공룡이 되었는가? 독서리뷰,수국이 있는 풍경,2020.01.11.,186
205,유투브방송 링크나눔,암과 여과성균(미세 바이러스-기생충),수국이 있는 풍경,2020.01.11.,125
206,가입 인사,가입 인사,솔비,2020.01.11.,228
207,가입 인사,안녕하세요,jeongjm72,2020.01.11.,21
208,가입 인사,가입인사,어라,2020.01.11.,22
209,가입 인사,가입인사드립니다,칠지,2020.01.11.,22
210,가입 인사,가입인사드립니다,대전ll국희선정목사랑,2020.01.11.,18
211,정보 공유,톡소플라즈마 감염증(뇌질환)이 의심되시면 클릭!!,헵번눈썹,2020.01.11.,214
212,가입 인사,가입인사드립니다,알천형,2020.01.11.,64
213,가입 인사,가입인사3개월  후기,편안하게,2020.01.11.,210
214,가입 인사,반갑습니다.,토기,2020.01.11.,23
215,가입 인사,가입인사드립니다~^^,차분침착맨,2020.01.11.,58
216,가입 인사,가입인사,요기니,2020.01.11.,21
217,가입 인사,가입인사드립니다,분홍앵초,2020.01.11.,93
218,가입 인사,반갑습니다.,깡도령,2020.01.11.,43
219,가입 인사,안녕하세요?,빙그레이,2020.01.11.,110
221,가입 인사,가입인사,은하수,2020.01.11.,27
222,동영상링크(중요자료),이태리 (공동  연구논문 : 차세대 항암 치료는 구충제),분홍앵초,2020.01.11.,95
223,동영상링크(중요자료),골육종의 원인과 치료는?,분홍앵초,2020.01.11.,109
224,동영상링크(중요자료),크론병의 진실  제1부,분홍앵초,2020.01.11.,69
225,동영상링크(중요자료),크론병의 진실 제2부,분홍앵초,2020.01.11.,50
227,질문과 대답(QnA),구충제복용법 어떻게 드시나요,새별바라기,2020.01.11.,353
228,가입 인사,안녕하세요.,고무나무,2020.01.11.,47
229,가입 인사,안녕하세요.,내사랑호자,2020.01.12.,55
230,가입 인사,안녕하세요~,시안,2020.01.12.,34
231,벤지미다졸 질문 게시판,펜벤다졸의  ingredients를 알고 싶습니다.,immortal,2020.01.12.,233
232,유투브방송 링크나눔,벤다졸은 내성이 있는가?,솔비,2020.01.12.,370
233,유투브방송 링크나눔,요즈음 우리의 울분을 대신해 주시네요 !!!,immortal,2020.01.12.,148
236,가입 인사,반갑습니다.,sung jin,2020.01.12.,39
237,"벤지미다졸체험기, 희망나누기","알벤다졸, 파라켑엘정 후기 입니다.",분홍앵초,2020.01.12.,966
238,자연치유.민간요법,"살아있다는 것이 중요하다 (독서리뷰) 비타민17,레이어트릴 성분",수국이 있는 풍경,2020.01.12.,239
239,자유게시판,옥스펜다졸,오늘맑음,2020.01.12.,223
240,질문과 대답(QnA),비르비늄(몰레박) 주문 관련 질문있습니다,알천형,2020.01.12.,183
241,가입 인사,가입했어요,sherena303,2020.01.12.,32
242,가입 인사,반갑습니다. 동지여러분,쏠떼로,2020.01.13.,50
243,간암,피르비늄간암치료후기 한국의 조 티펜스? 를 만나다,드림True,2020.01.13.,507
247,벤지미다졸 질문 게시판,알벤다졸 ingredients 중 아스파탐때문에  파부가려움증이 생기신 분들도 있다 하시네요.,immortal,2020.01.13.,290
248,벤지미다졸 질문 게시판,밴드에 계신 멤버(장미경)님은 알벤 ingredients중 타르색소 황색 5호가 가려움증의 원인이 아닌가 하시구요.                          .,immortal,2020.01.13.,178
249,가입 인사,안녕하세요~,건강이최고,2020.01.13.,75
250,동영상링크(중요자료),크론병의 진실 제 3부,분홍앵초,2020.01.13.,91
251,질문과 대답(QnA),구충제와는 관련없는 질문이 될수도 있지만 여쭤봅니다..,건강이최고,2020.01.13.,230
252,질문과 대답(QnA),니클로사마이드 직구 결제했습니다.,화창한오후,2020.01.13.,969
253,벤지미다졸 유튜브 동영상 자료실,"How curing cancer in dogs is helping humans, too",immortal,2020.01.13.,77
254,기타 자가임상 후기,원인 모르는 얼굴 붉은반점 치료,화창한오후,2020.01.13.,675
255,간암,구충제가 '간암 치료 신약'으로 등극 / YTN 사이언스,드림True,2020.01.13.,461
256,니타조사나이드,Nitazoxanide 에 대해 조사중입니다.  구입한 물건이 배달되면 유투브방송 예정입니다.,드림True,2020.01.13.,609
257,자유게시판,새해 두 번째 완전관해 소식 전해요.,오늘맑음,2020.01.13.,203
258,가입 인사,가입인사  /류마티스 관절염,주인공1,2020.01.13.,118
259,암 관해사례 정보,완전관해소식(간암2~3기),흑돼지엄마,2020.01.13.,851
260,니클로사미드,"Niclisamine 니클로사마이드 1000mg 구입사이트, 구충시 복용법",드림True,2020.01.13.,"1,529"
268,질문과 대답(QnA),암환자 구충제 복용법이 궁금합니다.,내사랑호자,2020.01.13.,505
269,질문과 대답(QnA),희귀암에 대해서 궁금한게 있습니다,별둘,2020.01.13.,110
270,가입 인사,안녕하세요?,늘푸른행복나무,2020.01.14.,117
271,자유게시판,mbc이국종 교수님 관련 뉴스입니다.,오늘맑음,2020.01.14.,140
272,기타 자가임상 후기,알벤다졸 복용후 방귀나오는 증상...,프로토TV,2020.01.14.,542
276,니타조사나이드,니타조사나이드는 처방전이 필요하군요. 주문이 홀딩되어 확인해보니 처방전이..,드림True,2020.01.14.,547
281,유투브방송 링크나눔,50년이상된 아토피_알벤다졸 치료기,화창한오후,2020.01.14.,604
283,가입 인사,가입인사드립니다,제주,2020.01.14.,54
284,가입 인사,안녕하세요,꽃다지,2020.01.15.,48
286,벤지미다졸 유튜브 동영상 자료실,신풍생각님의 오늘 따끈따끈한 동영상입니다. 세계 최고의 명작입니다.,분홍앵초,2020.01.15.,339
287,자유게시판,신풍생각님께~~~~,분홍앵초,2020.01.15.,215
288,정보 공유,구충제의 종류와 작용,배바다,2020.01.15.,183
289,니타조사나이드,[공유] 구충제 NTZ nitazoxanide 구하시는 분들 보세요,정인82,2020.01.15.,652
290,가입 인사,가입인사 드립니다,넒음마음,2020.01.15.,42
291,니타조사나이드,항바이러스성 구충항암제. 니타조사나이드. 미국NIH논문자료,정인82,2020.01.15.,484
292,자유게시판,오늘 약국에서,새별바라기,2020.01.15.,247
293,가입 인사,월출산 인사드립니다,월출산,2020.01.15.,68
294,가입 인사,안녕하세요~,튜니티,2020.01.16.,33
295,자유게시판,11월5일부터 후기,헤라,2020.01.16.,"1,429"
296,가입 인사,새해 복많이 받으세요,chan,2020.01.16.,29
297,기타 자가임상 후기,무좀이요,새별바라기,2020.01.16.,926
298,가입 인사,인사드립니다,궁을,2020.01.16.,131
299,가입 인사,환우 여러분 새해 건강하십시요,청안,2020.01.16.,54
300,가입 인사,안녕하세요 반갑습니다,뜨거운 햇살처럼,2020.01.16.,31
301,자유게시판,들기름대신 올리브유가 좋겠네요.,정인82,2020.01.16.,169
302,유투브방송 링크나눔,실컷 멱고도 암을 굶겨 죽일 수 있는 방법,immortal,2020.01.16.,169
303,유투브방송 링크나눔,살 빼고 허한심장을 보하는 약이  강력한 항암제였다.,immortal,2020.01.16.,140
304,가입 인사,가입인사입니다,여수등대지기,2020.01.16.,119
305,췌장암,췌장암. 알벤다졸 임상. 밴드에서 퍼옴. 대애박,정인82,2020.01.16.,"2,006"
308,자유게시판,nitazosanide,여수등대지기,2020.01.16.,224
309,기타 자가임상 후기,허리통증,sodi,2020.01.16.,161
310,자유게시판,리오단 클리닉,여수등대지기,2020.01.16.,148
311,구매정보게시판(물건배송확인후),구매정보 게시판은 실재 구입후 물건이 배송 확인된 곳(사이트)등록합니다.,드림True,2020.01.16.,334
312,구매정보게시판(물건배송확인후),피르비늄 구매 아마존 독일 사이트,드림True,2020.01.16.,512
313,구매정보게시판(물건배송확인후),"니타조사나이트, 이버맥틴 등을 아주 저렴하게 구입할 수 있군요.",드림True,2020.01.16.,"1,504"
314,자유게시판,대답 메일이 왔습니다,여수등대지기,2020.01.16.,442
315,가입 인사,등업신청바랍니다.,긍정으로,2020.01.16.,62
317,정보 공유,암박멸에 대한 다양한 연구가 진행되고 있네요.- 최신 자료,immortal,2020.01.17.,152
318,가입 인사,안녕하세요,항염증,2020.01.17.,112
319,가입 인사,안녕하세요 ^^ 반갑습니다 ^^,그랑블루,2020.01.17.,71
320,가입 인사,인사 드립니다.,트리,2020.01.17.,47
321,자유게시판,대자보가 ..붙었네요,새별바라기,2020.01.17.,351
322,자유게시판,비타민c,여수등대지기,2020.01.17.,173
324,가입 인사,안녕하세요 ~~,오공,2020.01.17.,42
327,벤지미다졸정보나누기,메벤다졸 임상,정인82,2020.01.17.,261
328,벤지미다졸정보나누기,알벤다졸 임상,정인82,2020.01.17.,268
331,벤지미다졸정보나누기,트리클라벤다졸  임상,정인82,2020.01.17.,655
332,강직성 척추염(척수염),강직성 척추염 극복하기,투게더투,2020.01.17.,887
333,정보 공유,[김현철 칼럼] 양심이 올바른 진짜 암 전문의들의 수난사 (5),harrypotty3,2020.01.17.,179
334,질문과 대답(QnA),항생제와 펜벤다졸,키아누행,2020.01.17.,223
335,정보 공유,꼭 읽어야될 책입니다,harrypotty3,2020.01.17.,228
336,자유게시판,알벤다졸 매진,구미,2020.01.17.,242
337,정보 공유,제인프로토콜,harrypotty3,2020.01.17.,192
338,정보 공유,림프절암은지방산대사다,harrypotty3,2020.01.17.,254
339,자유게시판,알벤다졸 구하기와 가격,배바다,2020.01.17.,703
340,정보 공유,"고지베리, 치명적인 기생충 치료 효과",성윤엄마,2020.01.17.,414
341,기타 자가임상 후기,TV조선 탐사보도 세븐 방송중.,화창한오후,2020.01.17.,307
342,유투브방송 링크나눔,탐사보도 세븐  92회,immortal,2020.01.18.,158
343,기타 자가임상 후기,"간암 2,3기 76세 여성 완치 댓글",화창한오후,2020.01.18.,322
345,정보 공유,항암치료 받으면 암환자가 빠르게  사망하는 이유 ?,immortal,2020.01.18.,791
346,니클로사미드,니클로사마이드 미국NIH 논문자료,정인82,2020.01.18.,582
347,정보 공유,항암제는 증암제이다.,immortal,2020.01.18.,269
348,자유게시판,다양한사례들이 모인 병실,헤라,2020.01.18.,457
349,자유게시판,한번 봐 주세요..(펌),분홍앵초,2020.01.18.,218
350,기타 자가임상 후기,방귀 냄새가 없어졌네요.,배바다,2020.01.18.,353
351,정보 공유,항암제가 효과가 있다는 말은  악마적 속임수이다.,immortal,2020.01.18.,234
353,벤지미다졸 유튜브 동영상 자료실,완치사례 정리 유튜브 동영상,남천동블루스,2020.01.18.,246
354,자유게시판,안녕하세요...,병아리아찌,2020.01.18.,80
355,정보 공유,과학적으로 불완전한 대학병원의 항암치료,드림True,2020.01.18.,326
357,가입 인사,안녕하세요,부리시리,2020.01.18.,34
358,니타조사나이드,니타조사나이드 임상정보입니다.,축복합니다,2020.01.18.,746
360,니클로사미드,니클로사마이드 임상정보입니다.,축복합니다,2020.01.18.,565
361,프라지콴텔,프리지콴텔 임상정보입니다.,축복합니다,2020.01.18.,918
362,기타 구충제,알벤다졸 임상정보입니다.,축복합니다,2020.01.18.,555
363,기타 구충제,메벤다졸 임상정보입니다.,축복합니다,2020.01.18.,548
365,정보 공유,암이나 대사질환 치료시 중요한 포인트. 미네랄,정인82,2020.01.19.,250
366,정보 공유,구충제.항암제 복용시 담즙분비제.이담제의 중요성,정인82,2020.01.19.,475
367,자유게시판,저를 봐요. 그러지 마세요. (펌),분홍앵초,2020.01.19.,265
368,정보 공유,미네랄을 뺐어가는 카페인이 함유된 약과 식품,정인82,2020.01.19.,205
369,자유게시판,"TV프로 문제적 남자.(tvN)  ,미스터 트롯 (TV조선)",분홍앵초,2020.01.19.,109
370,가입 인사,안녕하세요~반가와요,베리,2020.01.19.,68
371,자유게시판,편도결석이 생기시는분 계신가요?,천안아산,2020.01.19.,129
372,질문과 대답(QnA),비타민메가도스법 효과있을까요?,내사랑호자,2020.01.19.,421
373,비타민 C,"비타민C( 아스코르브산,ascorbic acid) 의 항암에 대한 논문들..",드림True,2020.01.20.,588
374,정보 공유,구충제.항암제 복용시 담즙분비제.이담제의 중요성,psa7059,2020.01.20.,69
375,가입 인사,모두 건강하세요.,복정병,2020.01.20.,64
376,자유게시판,NDSL이 많이 바쁘셨던거같네요.,미다스캉,2020.01.20.,326
377,비타민 C,비타민 씨에 대해서,여수등대지기,2020.01.20.,453
378,자유게시판,질병의 원인,여수등대지기,2020.01.20.,190
379,유방암,삼중음성 유방암에 대한 CBD 오일의 항암효과,드림True,2020.01.20.,395
380,자유게시판,고려은단 비타민 c,여수등대지기,2020.01.20.,321
384,기타 자가임상 후기,귓속 외이도 습진 호전,배바다,2020.01.20.,566
385,가입 인사,파리장군님 팬입니다.반갑습니다,인천 꽃길만,2020.01.20.,158
386,자유게시판,의료 카르텔,여수등대지기,2020.01.20.,147
388,기타 자가임상 후기,"""암없는 세상""에서 소개한 B17 아미그달린의 복용 혹은 주사 임상 후기 댓글 요청합니다.",드림True,2020.01.20.,174
389,가입 인사,반갑습니다. 가입인사 드려요^^,안아픈삶,2020.01.21.,39
390,가입 인사,반갑습니다,얼러리여,2020.01.21.,21
392,니클로사미드,니클로사마이드의 항혈액암. 항백혈병 작용,정인82,2020.01.21.,366
394,자유게시판,혹시 정향 구입해 보신분~~~!,분홍앵초,2020.01.21.,245
395,가입 인사,가입 인사 드립니다  ~,써니 1131,2020.01.21.,38
396,자유게시판,비타민씨가 부족한 느낌입니다.,천안아산,2020.01.21.,143
397,자유게시판,난소암 항암부작용 빈혈.,스모리,2020.01.21.,122
